course_id,course,city,state,street,zip_code,lng,lat,hole,public_private
8008,Lakeview Golf Course,Orono,Minnesota,409 N Arm Dr,55364,-93.6399853,44.9708358,18,Public
8009,Ortonville Golf Club,Ortonville,Minnesota,Golf Course Rd,56278,-96.45526249999999,45.325983,18,Public
8010,Osakis Country Club,Osakis,Minnesota,Hwy 27 E,56360,-95.1450773,45.8617387,9,Semi-Private
8011,Havana Hills Par d Golf,Owatonna,Minnesota,Rural Route 4,55060,-93.2259349,44.0855572,9,Public
8012,Hidden Creek Golf Course,Owatonna,Minnesota,4989 E Rose St,55060,-93.19118689999999,44.0878241,18,Public
8013,Brooktree Golf Course,Owatonna,Minnesota,1369 Cherry St,55060,-93.19957389999999,44.0943146,18,Public
8014,Owatonna Country Club,Owatonna,Minnesota,Lemond Rd,55060,-93.24416869999999,44.0748112,18,Semi-Private
8015,Brookside Resort,Park Rapids,Minnesota,Hwy 50,56470,-95.18935719999999,47.03270759999999,9,Resort
8016,Eagle View Golf Course,Park Rapids,Minnesota,Hwy 71 No,56470,-95.058445,46.9221964,18,Public
8017,Headwaters Golf & Country Club,Park Rapids,Minnesota,County Rd 1,56470,-95.1665337,47.1751862,18,Semi-Private
8018,Koronis Hills Golf Club,Paynesville,Minnesota,Hwy 23 W,56362,-94.73300309999999,45.373756,18,Semi-Private
8019,Birchwood Golf Course,Pelican Rapids,Minnesota,Golf Course Rd,56572,-96.07971359999999,46.58581340000001,9,Semi-Private
8020,Lida Greens Golf Course,Pelican Rapids,Minnesota,Hwy 108 E,56572,-96.0835492,46.5708111,9,Public
8021,Rolling Hills Golf Course,Pelican Rapids,Minnesota,County Rd 9 Route 2,56572,-96.08311239999999,46.57079239999999,9,Public
8022,Swan Lake Country Club,Pengilly,Minnesota,Old Hwy 65,55775,-93.19638239999999,47.3326805,9,Semi-Private
8023,Lakes Area Golf Learning Center,Pequot Lakes,Minnesota,County Rd 16,56472,-94.30940249999999,46.6313326,9,Public
8024,"Preserve, The",Pequot Lakes,Minnesota,H C 2 40613,56472,-94.3094399,46.6030198,18,Public
8025,Whitefish Golf Club,Pequot Lakes,Minnesota,Route 1 County Rd 16,56472,-94.30940249999999,46.6313326,18,Public
8026,Perham Lakeside Country Club,Perham,Minnesota,County Rd 51,56573,-95.5740345,46.6654771,18,Public
8027,Pierz Municipal Golf Course,Pierz,Minnesota,603 Park Ave,56364,-94.0898682,45.9756605,9,Public
8028,Pine City Country Club,Pine City,Minnesota,Route 4,55063,-92.9560137,45.8453661,9,Semi-Private
8029,Pine Island Golf Course,Pine Island,Minnesota,2000 8th St SE,55963,-92.61801899999999,44.1956429,9,Public
8030,Driftwood Resort,Pine River,Minnesota,County Rd 15,56474,-94.3037056,46.6822922,9,Resort
8031,Irish Hills Golf Course,Pine River,Minnesota,Route 1,56474,-94.3941959,46.7187741,18,Public
8032,Pine River Country Club,Pine River,Minnesota,County Rd 2,56474,-94.4122948,46.7191731,9,Semi-Private
8033,Pipestone Country Club,Pipestone,Minnesota,8th Ave SE,56164,-96.307474,43.986448,9,Semi-Private
8034,Piper Hills Golf Course,Plainview,Minnesota,S Hwy 42,55964,-92.1656939,44.16494369999999,9,Public
8035,Elm Creek Golf Links of Plymouth,Plymouth,Minnesota,18940 Hwy 55,55446,-93.5210868,45.0417555,18,Public
8036,Hampton Hills Golf Club,Plymouth,Minnesota,5313 Juneau Ln,55446,-93.4693719,45.0514034,18,Public
8037,Hollydale Golf Club,Plymouth,Minnesota,4710 Holly Ln No,55446,-93.496635,45.0400332,18,Public
8038,Preston Golf Club,Preston,Minnesota,Hwy 16 W,55965,-92.08338529999999,43.6754607,9,Public
8039,Princeton Golf Club,Princeton,Minnesota,Golf Course Rd,55372,-93.5777319,45.5635021,18,Semi-Private
8040,"Wilds Golf Club, The",Prior Lake,Minnesota,3151 Wilds Ridge,55372,-93.4571682,44.7373875,18,Public
8041,Cleary Lake Park Golf Course,Prior Lake,Minnesota,18106 Texas Ave,55372,-93.383427,44.69123099999999,9,Public
8042,Scottdale Golf Club,Prior Lake,Minnesota,19400 Natchez Rd,55372,-93.3396071,44.6691553,9,Public
8043,Lone Pine Country Club,Prior Lake,Minnesota,County Rd 82 W,55377,-93.4589747,44.7248351,18,Public
8044,Proctor Golf Course,Proctor,Minnesota,Hwy 2,55810,-92.23018429999999,46.7527835,9,Public
8045,Links at Northfork,Ramsey,Minnesota,9333 153rd St NW,55303,-93.4394852,45.249221,18,Public
8046,Rum River Hills Golf Club,Ramsey,Minnesota,16659 Saint Francis Blvd,55303,-93.41577099999999,45.273155,18,Public
8047,Hawk Creek Country Club,Raymond,Minnesota,100 Spicer Ave NE,56282,-95.23833789999999,45.0173506,9,Public
8048,Oak Knolls Golf Club,Red Lake Falls,Minnesota,Hwy 32 S,56750,-96.2740853,47.8821769,9,Semi-Private
8049,Highlands at Mississippi National Golf Links,Red Wing,Minnesota,409 Golf Links Dr,55066,-92.4936859,44.5539711,18,Public
8050,Lowlands at Mississippi National Golf Links,Red Wing,Minnesota,409 Golf Links Dr,55066,-92.4936859,44.5539711,18,Public
8051,Red Wing Country Club,Red Wing,Minnesota,1311 W 6th St,55066,-92.54741399999999,44.5583675,18,Semi-Private
8052,Redwood Falls Golf Club,Redwood Falls,Minnesota,101 E Oak St,56283,-95.1217918,44.5498787,9,Semi-Private
8053,Stoney Creek Golf Course,Renville,Minnesota,820th Ave,56284,-95.2195105,44.7745752,9,Public
8054,Oak Hill Golf Club,Rice,Minnesota,9000 Hwy 10 NW,56367,-94.187658,45.7040823,18,Public
8055,Oak Summit Golf Course,Rochester,Minnesota,2751 County Rd 16 SW,55902,-92.501921,43.920616,18,Public
8056,Meadow Lakes Golf Club,Rochester,Minnesota,70 45th Ave SW,55902,-92.52605199999999,44.018787,18,Public
8057,Eastwood Golf Club,Rochester,Minnesota,3505 Eastwood Rd SE,55904,-92.4092542,44.0077981,18,Public
8058,Maple Valley Golf & Country Club,Rochester,Minnesota,8600 Maple Valley Rd SE,55904,-92.37577999999999,43.895938,18,Public
8059,Northern Hills Golf Club,Rochester,Minnesota,4805 41St Ave NW,55901,-92.52341039999999,44.03583159999999,18,Public
8060,Rochester Golf & Country Club,Rochester,Minnesota,3100 Country Club Rd SW,55902,-92.5120712,44.0222811,18,Private
8061,Soldiers Memorial Field Golf Course,Rochester,Minnesota,244 Soldiers Field SW,55901,-92.4665962,44.01122600000001,18,Public
8062,Willow Creek Golf Course,Rochester,Minnesota,1700 SW 48th St,55902,-92.48619,43.9512399,18,Semi-Private
8063,Fox Hollow Golf Club,Rogers,Minnesota,4780 Palmgren Ln NE,55374,-93.57309099999999,45.22137,18,Public
8064,Pheasant Run Golf Club,Rogers,Minnesota,10705 County Rd 116,55374,-93.5427074,45.1491072,18,Public
8065,Oak Crest Golf Club,Roseau,Minnesota,5th St SE,56751,-95.74635769999999,48.8425081,18,Public
8066,Blue/White at Rich Valley Golf Club,Rosemount,Minnesota,3855 145th St E,55068,-93.02270999999999,44.742511,18,Public
8067,White/Red at Rich Valley Golf Club,Rosemount,Minnesota,3855 145th St E,55068,-93.02270999999999,44.742511,18,Public
8068,Brockway Golf Course,Rosemount,Minnesota,13500 S Robert Trl,55068,-93.1242973,44.751194,9,Public
8069,Red/Blue at Rich Valley Golf Club,Rosemount,Minnesota,3855 145th St E,55068,-93.02270999999999,44.742511,18,Public
8070,Roseville Cedarholm Golf Course,Roseville,Minnesota,2323 N Hamline Ave,55113,-93.15926619999999,45.0120685,9,Public
8071,Ferndale Country Club,Rushford,Minnesota,Route 2 Hwy 16,55971,-91.7532195,43.80545009999999,9,Public
8072,Saint Charles Golf Course,Saint Charles,Minnesota,1920 Park Rd,55972,-92.04782499999999,43.958829,18,Public
8073,Par d at Angushire Golf Course,Saint Cloud,Minnesota,224 Waite Ave S,56301,-94.21314149999999,45.5474743,9,Public
8074,Veterans Golf Club,Saint Cloud,Minnesota,5001 8th St No,56303,-94.2196352,45.5679412,9,Public
