c_city,c_state,c_zip
Wasilla,Alaska,99654
Wrangell,Alaska,99929
Ajo,Arizona,85321
Alpine,Arizona,85920
Apache Junction,Arizona,85220
Apache Junction,Arizona,85219
Arizona City,Arizona,85223
Baghdad,Arizona,86321
Beaver Dam,Arizona,86432
Benson,Arizona,85602
Bisbee,Arizona,85603
Bullhead City,AZ,86442
Bullhead City,Arizona,86426
Bullhead City,Arizona,86442
Carefree,Arizona,85377
Carefree,Arizona,85377
Carefree,Arizona,85377
Casa Grande,Arizona,85222
Casa Grande,Arizona,85222
Casa Grande,Arizona,85222
Cave Creek,Arizona,85331
Cave Creek,Arizona,85331
Chandler,Arizona,85248
Chandler,Arizona,85248
Chandler,Arizona,85248
Chandler,Arizona,85225
Chandler,Arizona,85249
Chandler,Arizona,85249
Chandler,Arizona,85248
Chandler,AZ,85226
Chandler,AZ,85226
Concho,Arizona,85924
Coolidge,Arizona,85228
Cornville,Arizona,86325
Corona,Arizona,85641
Dewey,Arizona,86327
Dewey,Arizona,86327
Douglas,Arizona,85607
Duncan,Arizona,85534
El Mirage,Arizona,85335
Flagstaff,Arizona,86004
Flagstaff,Arizona,86004
Flagstaff,Arizona,86001
Flagstaff,Arizona,86001
Flagstaff,AZ,8
Fort Huachuca,Arizona,85670
Fountain Hills,Arizona,85268
Fountain Hills,Arizona,85268
Fountain Hills,Arizona,85268
Gilbert,Arizona,85233
Gilbert,Arizona,85296
Gilbert,Arizona,85236
Gilbert,Arizona,85296
Glendale,Arizona,85308
Glendale,Arizona,85301
Glendale,Arizona,85305
Glendale,"AZ,",85308
Glendale,Arizona,85308
Globe,Arizona,85532
Globe,Arizona,85501
Gold Canyon,Arizona,85219
Gold Canyon,Arizona,85219
Gold Canyon,Arizona,85219
Goodyear,Arizona,85338
Goodyear,Arizona,85338
Goodyear,Arizona,85338
Goodyear,Arizona,85338
Goodyear,Arizona,85338
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Hayden,Arizona,85235
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Green Valley,Arizona,85614
Holbrook,Arizona,86025
Kearny,Arizona,85237
Kingman,Arizona,86401
Kingman,Arizona,86401
Lake Havasu City,AZ,8640
Lake Havasu City,Arizona,86406
Lake Havasu City,Arizona,86403
Lake Montezuma,Arizona,86342
Laveen,Arizona,85339
Laveen,Arizona,85339
Litchfield Park,Arizona,85340
Litchfield Park,Arizona,85340
Litchfield Park,Arizona,85340
Litchfield Park,Arizona,85340
Marana,Arizona,85653
Marana,Arizona,85653
Mesa,Arizona,85206
Mesa,Arizona,85215
Mesa,Arizona,85207
Mesa,Arizona,85206
Mesa,Arizona,85207
Mesa,Arizona,85215
Mesa,Arizona,85212
Mesa,Arizona,85213
Mesa,Arizona,85212
Mesa,Arizona,85205
Mesa,Arizona,85215
Mesa,Arizona,85206
Mesa,Arizona,85208
Mesa,Arizona,85202
Mesa,Arizona,85205
Mesa,Arizona,85210
Mesa,Arizona,85208
Mesa,Arizona,85206
Mesa,Arizona,85201
Mesa,Arizona,85215
Mesa,Arizona,85201
Mesa,Arizona,85208
Mesa,Arizona,85206
Mesa,Arizona,85207
Mesa,Arizona,85212
Mesa,Arizona,85215
Mesa,Arizona,85203
Munds Park,Arizona,86017
Nogales,Arizona,85621
Nogales,Arizona,85621
North Palm Beach,Arizona,33408
Overgaard,Arizona,85399
,,
Paradise Valley,Arizona,85253
Paradise Valley,Arizona,85032
Parker,Arizona,85344
Payson,Arizona,85541
Payson,Arizona,85541
Payson,Arizona,85541
Pearce,Arizona,85625
Peoria,Arizona,85345
Peoria,Arizona,85382
Peoria,Arizona,85382
Phoenix,Arizona,85023
Phoenix,Arizona,85050
Phoenix,Arizona,85045
Phoenix,Arizona,85040
Phoenix,Arizona,85054
Phoenix,Arizona,85310
Phoenix,Arizona,85327
Phoenix,Arizona,85044
Phoenix,Arizona,85044
Phoenix,Arizona,85018
Phoenix,Arizona,85023
Phoenix,Arizona,85021
Phoenix,Arizona,85007
Phoenix,Arizona,85007
Phoenix,Arizona,85048
Phoenix,Arizona,85033
Phoenix,Arizona,85023
Phoenix,Arizona,85015
Phoenix,Arizona,85008
Phoenix,Arizona,85050
Phoenix,Arizona,85014
Phoenix,Arizona,85020
Phoenix,Arizona,85044
Phoenix,Arizona,85040
Phoenix,Arizona,85037
Pinetop,Arizona,85935
Pinetop,Arizona,85935
Pinetop,AZ,85935
Prescott,Arizona,86301
Prescott,Arizona,86303
Prescott,Arizona,86301
Queen Creek,Arizona,85242
Queen Creek,Arizona,85242
Queen Creek,Arizona,85242
Queen Creek,Arizona,85242
Queen Valley,Arizona,85219
Rio Rico,Arizona,85648
Rio Verde,Arizona,85263
Rio Verde,Arizona,85263
Rio Verde,Arizona,85263
Rio Verde,Arizona,85263
Safford,Arizona,85546
San Manuel,Arizona,85631
Scottsdale,Arizona,85259
Scottsdale,Arizona,85253
Scottsdale,Arizona,85258
Scottsdale,Arizona,85255
Scottsdale,Arizona,85251
Scottsdale,Arizona,85257
Scottsdale,Arizona,85256
Scottsdale,Arizona,85255
Scottsdale,Arizona,85258
Scottsdale,Arizona,85253
Scottsdale,Arizona,85254
Scottsdale,Arizona,85250
Scottsdale,AZ,8525
Scottsdale,Arizona,85251
Scottsdale,Arizona,85255
Scottsdale,Arizona,85251
Scottsdale,Arizona,85262
Scottsdale,Arizona,85258
Scottsdale,Arizona,85255
Scottsdale,Arizona,85258
Scottsdale,Arizona,85260
Scottsdale,Arizona,85255
Scottsdale,Arizona,85262
Scottsdale,Arizona,85262
Scottsdale,Arizona,85258
Scottsdale,Arizona,85260
Scottsdale,Arizona,85262
Scottsdale,Arizona,85255
Scottsdale,Arizona,85255
Scottsdale,Arizona,85255
Scottsdale,Arizona,85262
Scottsdale,Arizona,85262
Scottsdale,Arizona,85255
Scottsdale,Arizona,85254
Scottsdale,Arizona,85254
Scottsdale,Arizona,85254
Scottsdale,Arizona,85251
Scottsdale,Arizona,85251
Scottsdale,Arizona,85255
Scottsdale,Arizona,85256
Scottsdale,Arizona,85256
Scottsdale,Arizona,85256
Scottsdale,Arizona,85262
Scottsdale,Arizona,85262
Scottsdale,Arizona,85262
Scottsdale,Arizona,85260
Scottsdale,AZ,85255
Sedona,Arizona,86351
Sedona,Arizona,86351
Sedona,Arizona,86336
Sedona,Arizona,86351
Show Low,Arizona,85901
Show Low,Arizona,85901
Sierra Vista,Arizona,85650
Snowflake,Arizona,85937
Somerton,Arizona,85350
Sun City,Arizona,85373
Sun City,Arizona,85373
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City,Arizona,85373
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City,Arizona,85351
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun City West,Arizona,85375
Sun Lakes,Arizona,85248
Sun Lakes,Arizona,85248
Sun Lakes,Arizona,85248
Surprise,Arizona,85374
Surprise,Arizona,85374
Surprise,Arizona,85374
Surprise,Arizona,85374
Surprise,Arizona,85374
Surprise,Arizona,85374
Tempe,Arizona,85281
Tempe,Arizona,85281
,,
Tempe,Arizona,85283
Tempe,Arizona,85281
Tempe,Arizona,85282
Tubac,Arizona,85646
Tucson,Arizona,85742
Tucson,Arizona,85718
Tucson,Arizona,85742
Tucson,Arizona,85737
Tucson,Arizona,85711
Tucson,Arizona,85750
Tucson,Arizona,85718
Tucson,Arizona,85742
Tucson,Arizona,85737
Tucson,Arizona,85749
Tucson,Arizona,85737
Tucson,Arizona,85711
Tucson,Arizona,85750
Tucson,Arizona,85739
Tucson,Arizona,85739
Tucson,Arizona,85742
Tucson,Arizona,85704
Tucson,Arizona,85737
Tucson,Arizona,85707
Tucson,Arizona,85710
Tucson,Arizona,85745
Tucson,Arizona,85730
Tucson,Arizona,85718
Tucson,Arizona,85737
Tucson,Arizona,85710
Tucson,Arizona,85739
Tucson,Arizona,85745
Tucson,Arizona,85718
Tucson,Arizona,85737
Tucson,Arizona,85745
Tucson,Arizona,85715
Tucson,Arizona,85713
Wellton,Arizona,85356
White Mountain Lake,Arizona,85901
Wickenburg,Arizona,85390
Wickenburg,Arizona,85390
Willcox,Arizona,85643
Williams,Arizona,86046
Winslow,Arizona,86047
Alma,Arkansas,72921
Alma,AR,72921
Arkadelphia,Arkansas,71923
Arkadelphia,Arkansas,71923
Ashdown,Arkansas,71822
Ashdown,Arkansas,71822
Bald Knob,Arkansas,72010
Barling,Arkansas,72923
Batesville,Arkansas,72501
Batesville,Arkansas,72501
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Bella Vista,Arkansas,72714
Benton,Arkansas,72015
Benton,Arkansas,72015
Berryville,Arkansas,72616
Bismarck,Arkansas,71929
Bismarck,Arkansas,71929
Blytheville,Arkansas,72315
Blytheville,Arkansas,72315
Booneville,Arkansas,72927
Brinkley,Arkansas,72021
Brookland,Arkansas,72417
Bull Shoals,Arkansas,72619
Cabot,Arkansas,72023
Cabot,Arkansas,72023
Cabot,Arkansas,72023
Camden,Arkansas,71701
Cave Springs,Arkansas,72718
Cherokee Village,Arkansas,72525
Cherokee Village,Arkansas,72525
Clarksville,Arkansas,72830
Clinton,Arkansas,72031
Conway,Arkansas,72032
Conway,Arkansas,72032
Corning,Arkansas,72422
Crossett,Arkansas,71635
Crossett,Arkansas,71635
Danville,Arkansas,72833
Dardanelle,Arkansas,72834
De Queen,Arkansas,71832
De Witt,Arkansas,72042
Diamond City,Arkansas,72630
El Dorado,Arkansas,71730
Fairfield Bay,Arkansas,72088
Fairfield Bay,Arkansas,72088
Fayetteville,Arkansas,72701
Fayetteville,Arkansas,72701
Fayetteville,Arkansas,72703
Fayetteville,Arkansas,72704
Fordyce,Arkansas,71742
Forrest City,Arkansas,72335
Fort Smith,Arkansas,72903
Fort Smith,Arkansas,72903
Fort Smith,Arkansas,72903
Fort Smith,Arkansas,72903
Fort Smith,Arkansas,72908
Fort Smith,Arkansas,72904
Fort Smith,Arkansas,72903
Glenwood,Arkansas,71943
Greenbrier,Arkansas,72058
Greenwood,Arkansas,72936
Harrison,Arkansas,72601
Harrison,Arkansas,72601
Hazen,Arkansas,72064
Heber Springs,Arkansas,72543
Heber Springs,Arkansas,72543
Heber Springs,Arkansas,72543
Holiday Island,Arkansas,72631
Holiday Island,Arkansas,72631
Hope,Arkansas,71801
Horseshoe Bend,Arkansas,72512
Horseshoe Bend,Arkansas,72512
Hot Springs,Arkansas,71901
Hot Springs,Arkansas,71901
Hot Springs,Arkansas,71901
Hot Springs,Arkansas,71913
Hot Springs National Park,Arkansas,71901
Hot Springs National Park,Arkansas,71901
Hot Springs National Park,Arkansas,71901
Hot Springs National Park,Arkansas,71901
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Hot Springs Village,Arkansas,71909
Houston,Arkansas,72070
Huntsville,Arkansas,72740
Jacksonville,Arkansas,72076
Jacksonville,Arkansas,72099
Jonesboro,Arkansas,72401
Jonesboro,Arkansas,72404
Jonesboro,Arkansas,72404
Jonesboro,Arkansas,72401
Jonesboro,Arkansas,72404
Jonesboro,Arkansas,72401
Lexa,Arkansas,72355
Little Rock,Arkansas,72202
Little Rock,Arkansas,72223
Little Rock,Arkansas,72207
Little Rock,Arkansas,72202
Little Rock,Arkansas,72209
Little Rock,Arkansas,72120
Little Rock,Arkansas,72212
Little Rock,Arkansas,72212
Little Rock,Arkansas,72205
Little Rock,Arkansas,72204
Lowell,Arkansas,72745
Mabelvale,Arkansas,72103
Magazine,Arkansas,72943
,,
Magnolia,Arkansas,71753
Malvern,Arkansas,72104
Manila,Arkansas,72442
Marianna,Arkansas,72360
Marion,Arkansas,72364
Marked Tree,Arkansas,72365
Maumelle,Arkansas,72113
Maumelle,Arkansas,72113
McGehee,Arkansas,71654
Mena,Arkansas,71953
Monticello,Arkansas,71655
Monticello,Arkansas,71655
Morrilton,Arkansas,72110
Mountain Home,Arkansas,72653
,,
Mountain View,Arkansas,72560
Muamelle,Arkansas,72106
Nashville,Arkansas,71852
Newport,Arkansas,72112
Newport,Arkansas,72112
North Little Rock,Arkansas,72118
North Little Rock,Arkansas,72118
North Little Rock,Arkansas,72118
North Little Rock,Arkansas,72120
North Little Rock,Arkansas,72117
Osceola,Arkansas,72370
Paragould,Arkansas,72450
Paragould,Arkansas,72450
Pickens,Arkansas,71662
Piggott,Arkansas,72454
Pine Bluff,Arkansas,71601
Pine Bluff,Arkansas,71601
Pine Bluff,Arkansas,71603
Pine Bluff,Arkansas,71603
Pocahontas,Arkansas,72455
Pottsville,Arkansas,72858
Prescott,Arkansas,71857
Rogers,Arkansas,72756
Rogers,Arkansas,72758
Rogers,Arkansas,72757
Russellville,Arkansas,72801
Searcy,Arkansas,72143
Searcy,Arkansas,72143
Sheridan,Arkansas,72150
Sherwood,Arkansas,72120
Siloam Springs,Arkansas,72761
Siloam Springs,Arkansas,72761
Silver Hill,Arkansas,72650
Smackover,Arkansas,71762
Springdale,Arkansas,72762
Springdale,Arkansas,72764
Stuttgart,Arkansas,72160
Texarkana,Arkansas,71854
Texarkana,Arkansas,71854
Texarkana,Arkansas,71854
Trumann,Arkansas,72472
Van Buren,Arkansas,72957
Waldron,Arkansas,72958
Walnut Ridge,Arkansas,72476
West Helena,Arkansas,72390
West Memphis,Arkansas,72301
Wynne,Arkansas,72396
Acampo,California,95220
Agoura Hills,California,91301
Ahwahnee,California,93601
Alameda,California,94502
Alameda,California,94502
Alameda,California,94502
Alamo,California,94507
Alhambra,California,91801
Aliso Viejo,California,92656
Aliso Viejo,California,92656
Aliso Viejo,California,92656
Altadena,California,91001
Alturas,California,96101
Angels Camp,California,95222
Antelope,California,95843
Antelope,California,95843
Antioch,California,94509
Apple Valley,California,92307
Apple Valley,California,92308
Arbuckle,California,95912
Arcadia,California,91006
Arcadia,California,91006
Arcata,California,95521
Arnold,California,95223
Arnold,California,95223
Arvin,California,93203
Atascadero,California,93422
Atascadero,California,93422
Atwater,California,95301
Auburn,California,95603
Auburn,California,95602
Auburn,California,95602
Auburn,California,95602
Auburn,California,95602
Avalon,California,90704
Avila Beach,California,93424
Azusa,California,91702
Bakersfield,California,93386
Bakersfield,California,93308
Bakersfield,California,93306
Bakersfield,California,93309
Bakersfield,California,93307
Bakersfield,California,93389
Bakersfield,California,93311
Bakersfield,California,93306
Bakersfield,California,93312
Banning,California,92220
Banning,California,92220
Barstow,California,92311
Barstow,California,92311
Beale AFB,California,95903
Beaumont,California,92223
Bellflower,California,90706
Bell Gardens,California,90201
Berkeley,California,94708
Bermuda Dunes,California,92201
Bermuda Dunes,California,92201
Bermuda Dunes,California,92201
Bethel Island,California,94511
Big Bear Lake,California,92315
Bishop,California,93514
Blairsden,California,96103
Blairsden,California,96103
Blythe,California,92225
Bodega Bay,California,94923
Bonita,California,91902
Bonita,California,91902
Bonsall,California,92003
Borrego Springs,California,92004
Borrego Springs,California,92004
Borrego Springs,California,92004
Borrego Springs,California,92004
Borrego Springs,California,92004
Boulder Creek,California,95006
Brawley,California,92227
Brea,California,92821
Brea,California,92821
Brentwood,California,94513
Brentwood,California,94513
Buellton,California,93427
Buena Park,California,90621
Buena Park,California,90621
Buena Park,California,90621
Buena Park,California,90621
Burbank,California,91501
Burbank,California,91505
Burbank,California,91501
Burlingame,California,94010
Byron,California,94514
Calabasas,California,91302
California City,California,93505
Calimesa,California,92320
Calistoga,California,94515
Camarillo,California,93012
Camarillo,California,93010
Camarillo,California,93010
Camarillo,California,93010
Cameron Park,California,95682
Camino,California,95709
Camino,California,95709
Camp Pendleton,California,92055
Camp Pendleton,California,92055
Canyon Lake,California,92587
Carlsbad,California,92009
Carlsbad,California,92009
Carlsbad,California,92008
Carlsbad,California,92009
Carmel,California,93923
Carmel,California,93922
Carmel,California,93923
Carmel,California,93922
Carmichael,California,95608
Carson,California,90745
Carson,California,90746
Castro Valley,California,94546
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Cathedral City,California,92234
Ceres,California,95307
Cerritos,California,90703
Cherry Valley,California,92223
Chester,California,96020
Chico,California,95973
Chico,California,95928
Chico,California,95928
Chico,California,95973
China Lake,California,93556
Chino,California,91710
Chino,California,91710
Chino Hills,California,91709
Chino Hills,California,91709
Chino Hills,California,91709
Chowchilla,California,93610
Chula Vista,California,91915
Chula Vista,California,91911
Citrus Heights,California,95610
City of Industry,California,91744
City of Industry,California,91744
Claremont,California,91711
Clayton,California,94517
Clio,California,96106
Coalinga,California,93210
Coarsegold,California,93614
Cobb,California,95426
Cobb,California,95426
Colma,California,94014
Colton,California,92324
Colusa,California,95932
Compton,California,90221
Concord,California,94520
Concord,California,94520
Cool,California,95614
Copperopolis,California,95228
Corona,California,92879
Corona,California,92883
Corona,California,92882
Corona,California,92880
Corona,California,92880
Glen Ivy,CA,92883
Coronado,California,92118
Costa Mesa,California,92626
Costa Mesa,California,92626
Costa Mesa,California,92626
Coto de Caza,California,92679
Coto de Caza,California,92679
Coyote,California,95013
Crescent City,California,95531
Crescent City,California,95531
Crescent Mills,California,95934
Cupertino,California,95014
Cupertino,California,95014
Cypress,California,90630
Cypress,California,90630
Daly City,California,94015
Dana Point,California,92629
Danville,California,94506
Danville,California,94526
Danville,California,94506
Davis,California,95616
Davis,California,95616
Death Valley,California,92328
Delano,California,93215
Desert Center,California,92239
Desert Hot Springs,California,92241
Desert Hot Springs,California,92240
Desert Hot Springs,California,92240
Desert Hot Springs,California,92240
Diablo,California,94528
Diamond Bar,California,91765
Dove Canyon,California,92679
Downey,California,90242
Downey,California,90241
Duarte,California,91010
Dunnigan,California,95937
Edwards,California,93523
El Cajon,California,92019
El Cajon,California,92019
El Cajon,California,92019
El Cajon,California,92019
El Cajon,California,92019
El Centro,California,92243
El Centro,California,92243
El Cerrito,California,94530
El Dorado Hills,California,95762
El Dorado Hills,California,95762
Elk Grove,California,95624
Elk Grove,California,95624
El Macero,California,95618
El Segundo,California,90245
Elverta,California,95626
Encinitas,California,92024
Encino,California,91436
Encino,California,91436
Escalon,California,95320
Escondido,California,92027
Escondido,California,92026
Escondido,California,92026
Escondido,California,92026
Escondido,California,92026
Escondido,California,92025
Eureka,California,95503
Exeter,California,93221
Fairfax,California,94930
Fairfield,California,94533
Fairfield,California,94533
Fair Oaks,California,95628
Fallbrook,California,92028
Fallbrook,California,92028
Fall River Mills,California,96018
Farmington,California,95230
Fillmore,California,93015
Fontana,CA,92336
Fortuna,California,95540
Foster City,California,94404
Fountain Valley,California,92708
Fountain Valley,California,92708
Fresno,California,93727
Fresno,California,93711
Fresno,California,93720
Fresno,California,93727
Fresno,California,93711
Fresno,California,93727
Fresno,California,93727
Fresno,California,93722
Fresno,California,93727
Fresno,California,93727
Fresno,California,93720
Friant,California,93626
Fullerton,California,92835
Fullerton,California,92835
Galt,California,95632
Garberville,California,95542
Gilman Hot Springs,California,92583
Gilroy,California,95020
Gilroy,California,95020
Glendale,California,91206
Glendale,California,91208
Glendale,California,91206
Glendora,California,91740
Glendora,California,91741
Goleta,California,93117
Goleta,California,93117
Goleta,California,93117
Goleta,California,93117
Graeagle,California,96103
Graeagle,California,96103
Graeagle,California,96103
Granada Hills,California,91344
Granite Bay,California,95746
Grass Valley,California,95949
