course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
8048,Oak Knolls Golf Club,Red Lake Falls,Minnesota,Hwy 32 S,56750,-96.2740853,47.8821769,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,2914,110,33.70,36,2759,107,33.20,38,2507,112,34.00
8049,Highlands at Mississippi National Golf Links,Red Wing,Minnesota,409 Golf Links Dr,55066,-92.4936859,44.5539711,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6282,121,70.50,71,5877,117,68.70,71,5002,115,69.30
8050,Lowlands at Mississippi National Golf Links,Red Wing,Minnesota,409 Golf Links Dr,55066,-92.4936859,44.5539711,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6484,126,71.00,71,6195,123,69.70,71,5450,121,71.00
8051,Red Wing Country Club,Red Wing,Minnesota,1311 W 6th St,55066,-92.54741399999999,44.5583675,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6169,129,70.90,71,5892,126,69.70,72,4831,117,69.80
8052,Redwood Falls Golf Club,Redwood Falls,Minnesota,101 E Oak St,56283,-95.1217918,44.5498787,9,Semi-Private,Open: 4/01 Closed: 10/31,4,10,36,3223,132,36.20,36,3075,129,35.50,36,2734,122,36.50
8053,Stoney Creek Golf Course,Renville,Minnesota,820th Ave,56284,-95.2195105,44.7745752,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3378,133,36.50,36,3266,130,35.70,36,2742,122,36.00
8054,Oak Hill Golf Club,Rice,Minnesota,9000 Hwy 10 NW,56367,-94.187658,45.7040823,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6534,120,70.80,72,6035,119,68.60,72,5006,118,68.30
8055,Oak Summit Golf Course,Rochester,Minnesota,2751 County Rd 16 SW,55902,-92.501921,43.920616,18,Public,Open: 4/01 Closed: 11/30,4,11,71,6518,121,71.30,71,6128,117,69.50,71,5159,115,69.10
8056,Meadow Lakes Golf Club,Rochester,Minnesota,70 45th Ave SW,55902,-92.52605199999999,44.018787,18,Public,year round,1,12,71,6287,112,69.20,71,5946,109,68.10,71,4855,104,67.10
8058,Maple Valley Golf & Country Club,Rochester,Minnesota,8600 Maple Valley Rd SE,55904,-92.37577999999999,43.895938,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6270,121,70.50,71,5990,118,69.10,71,5330,120,71.10
8059,Northern Hills Golf Club,Rochester,Minnesota,4805 41St Ave NW,55901,-92.52341039999999,44.03583159999999,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6310,126,70.00,72,5971,123,68.50,72,5522,126,71.60
8060,Rochester Golf & Country Club,Rochester,Minnesota,3100 Country Club Rd SW,55902,-92.5120712,44.0222811,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6394,131,71.10,71,6199,130,70.20,72,5228,121,70.70
8062,Willow Creek Golf Course,Rochester,Minnesota,1700 SW 48th St,55902,-92.48619,43.9512399,18,Semi-Private,Open: 3/18 Closed: 11/15,3,11,70,6053,117,69.10,70,5702,114,67.50,70,5293,121,70.50
8063,Fox Hollow Golf Club,Rogers,Minnesota,4780 Palmgren Ln NE,55374,-93.57309099999999,45.22137,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6726,129,72.70,72,6294,125,70.90,72,5884,130,74.80
8064,Pheasant Run Golf Club,Rogers,Minnesota,10705 County Rd 116,55374,-93.5427074,45.1491072,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6331,117,69.90,71,6089,116,69.00,72,5038,115,68.60
8065,Oak Crest Golf Club,Roseau,Minnesota,5th St SE,56751,-95.74635769999999,48.8425081,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6371,118,70.00,71,6076,115,68.70,71,5054,112,68.60
